trace_id,scenario_id,method_id,selection_rank,candidate_site_id,source_record_id,tile_run_id,tile_job_id,country_code,nuts_id,site_type,brand,operator,name,raw_tag_keys,baseline_rank_within_scenario,baseline_score,covered_zone_count,covered_demand_weight,coverage_trace_zone_ids,scenario_candidate_cost,allowed_use_note,proxy_assumption_label
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:way:901643395,scenario:radius-base,method:mclp-pulp-cbc,1,candidate:osm:way:901643395,osm:way:901643395,20260516T163346Z,osm_tile:candidate_services:FR101,FR,FR101,services,,,,highway|toilets,13,0.735,5,8197709.0,dz:nuts2024:FR101|dz:nuts2024:FR106|dz:nuts2024:FR105|dz:nuts2024:FR107|dz:nuts2024:FR108,850000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:302017504,scenario:radius-base,method:mclp-pulp-cbc,2,candidate:osm:node:302017504,osm:node:302017504,20260517T134748Z,osm_tile:candidate_fuel:BE32C,BE,BE32C,fuel,Shell,Shell,Shell Express,amenity|brand|brand:wikidata|brand:wikipedia|fuel:diesel|fuel:octane_95|fuel:octane_98|name|operator,27,0.484544,9,3719438.0,dz:nuts2024:BE100|dz:nuts2024:BE241|dz:nuts2024:BE310|dz:nuts2024:BE32B|dz:nuts2024:BE231,560000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:30503337,scenario:radius-base,method:mclp-pulp-cbc,3,candidate:osm:node:30503337,osm:node:30503337,20260518T083445Z,osm_tile:candidate_fuel:DE21C,DE,DE21C,fuel,Shell,Shell,Shell,addr:city|addr:country|addr:housenumber|addr:postcode|addr:street|amenity|brand|brand:wikidata|check_date|compressed_air|fuel:HGV_diesel|fuel:diesel|fuel:lpg|fuel:octane_100|fuel:octane_95|fuel:octane_98|name|opening_hours|operator|wheelchair,71,0.436416,7,2629462.0,dz:nuts2024:DE212|dz:nuts2024:DE21H|dz:nuts2024:DE21C|dz:nuts2024:DE217|dz:nuts2024:DE21L,550000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:135510729,scenario:radius-base,method:mclp-pulp-cbc,4,candidate:osm:node:135510729,osm:node:135510729,20260517T084318Z,osm_tile:candidate_fuel:BE213,BE,BE213,fuel,Shell,Shell,Shell Morkhoven,addr:city|addr:country|addr:housenumber|addr:postcode|addr:street|amenity|brand|fuel:GTL_diesel|fuel:diesel|fuel:octane_95|fuel:octane_98|name|opening_hours|operator|shop,88,0.426317,4,2478944.0,dz:nuts2024:BE211|dz:nuts2024:BE242|dz:nuts2024:BE213|dz:nuts2024:BE212,550000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:476758057,scenario:radius-base,method:mclp-pulp-cbc,5,candidate:osm:node:476758057,osm:node:476758057,20260518T033223Z,osm_tile:candidate_fuel:DE126,DE,DE126,fuel,Shell,Shell,Shell,addr:city|addr:country|addr:housenumber|addr:postcode|addr:street|amenity|brand|brand:wikidata|brand:wikipedia|check_date|compressed_air|fuel:diesel|fuel:e10|fuel:octane_100|fuel:octane_95|name|opening_hours|operator|self_service|wheelchair,177,0.394946,11,2011356.0,dz:nuts2024:DE128|dz:nuts2024:DE126|dz:nuts2024:DE715|dz:nuts2024:DEB34|dz:nuts2024:DEB3I,550000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:244746279,scenario:radius-base,method:mclp-pulp-cbc,6,candidate:osm:node:244746279,osm:node:244746279,20260517T160038Z,osm_tile:candidate_fuel:DE113,DE,DE113,fuel,Aral,,Aral,amenity|brand|brand:wikidata|brand:wikipedia|compressed_air|name,216,0.384897,6,2606834.0,dz:nuts2024:DE111|dz:nuts2024:DE113|dz:nuts2024:DE115|dz:nuts2024:DE112|dz:nuts2024:DE141,580000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:6241640958,scenario:radius-base,method:mclp-pulp-cbc,7,candidate:osm:node:6241640958,osm:node:6241640958,20260517T132844Z,osm_tile:candidate_fuel:BE257,BE,BE257,fuel,,Veos Nv,,access|addr:city|addr:housenumber|addr:postcode|addr:street|amenity|operator,415,0.345555,7,1647815.0,dz:nuts2024:BE234|dz:nuts2024:BE254|dz:nuts2024:BE251|dz:nuts2024:BE255|dz:nuts2024:BE256,560000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:25241985,scenario:radius-base,method:mclp-pulp-cbc,8,candidate:osm:node:25241985,osm:node:25241985,20260518T023802Z,osm_tile:candidate_fuel:DE123,DE,DE123,fuel,Esso,,Esso,addr:city|addr:country|addr:postcode|addr:street|amenity|brand|brand:wikidata|brand:wikipedia|fuel:HGV_diesel|fuel:diesel|fuel:e10|fuel:octane_95|name|payment:dkv|payment:esso_card|payment:euroshell|payment:routex|payment:uta,567,0.319494,8,1632003.0,dz:nuts2024:DE123|dz:nuts2024:DE122|dz:nuts2024:DE124|dz:nuts2024:DE12B|dz:nuts2024:DE129,580000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:261157800,scenario:radius-base,method:mclp-pulp-cbc,9,candidate:osm:node:261157800,osm:node:261157800,20260517T160300Z,osm_tile:candidate_fuel:DE118,DE,DE118,fuel,Aral,,Aral,amenity|brand|brand:wikidata|contact:fax|contact:phone|fuel:diesel|fuel:e10|fuel:lpg|fuel:octane_95|fuel:octane_98|name|opening_hours,574,0.318402,5,1243105.0,dz:nuts2024:DE116|dz:nuts2024:DE118|dz:nuts2024:DE11A|dz:nuts2024:DE117|dz:nuts2024:DE119,560000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|candidate:osm:node:2735095491,scenario:radius-base,method:mclp-pulp-cbc,10,candidate:osm:node:2735095491,osm:node:2735095491,20260517T150753Z,osm_tile:candidate_fuel:BE334,BE,BE334,fuel,Lukoil,,Lukoil,amenity|brand|brand:wikidata|name,626,0.309673,5,1485615.0,dz:nuts2024:BE332|dz:nuts2024:BE224|dz:nuts2024:BE223|dz:nuts2024:BE331|dz:nuts2024:BE334,580000,Candidate lineage trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_candidate_lineage_trace_not_investment_grade
