scenario_method_country_id,scenario_method_id,scenario_id,method_id,country_code,selected_candidate_count,covered_zone_count,covered_demand_weight,covered_demand_share_of_method,total_candidate_cost,candidate_cost_share_of_method,concentration_status,concentration_warning_threshold,concentration_review_note,diagnostic_note,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|method:baseline-topk|FR,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,FR,10,8,12549288,1.0,5530000,1.0,warning,0.75,Warning-grade concentration review: this is analytically important but not a mathematical failure.,Covered demand is highly concentrated in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc|BE,scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,BE,2,24,9322687,0.226139,1130000,0.191525,pass,0.75,No country concentration warning under the current public-proxy threshold.,Covered demand is not dominant in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc|DE,scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,DE,7,88,19353553,0.469456,4210000,0.713559,pass,0.75,No country concentration warning under the current public-proxy threshold.,Covered demand is not dominant in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc|FR,scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,FR,1,8,12549288,0.304406,560000,0.094915,pass,0.75,No country concentration warning under the current public-proxy threshold.,Covered demand is not dominant in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-shortlist-exact|FR,scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,FR,1,8,12549288,1.0,550000,1.0,warning,0.75,Warning-grade concentration review: this is analytically important but not a mathematical failure.,Covered demand is highly concentrated in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp|FR,scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,FR,1,8,12549288,1.0,550000,1.0,warning,0.75,Warning-grade concentration review: this is analytically important but not a mathematical failure.,Covered demand is highly concentrated in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-base|method:baseline-topk|FR,scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,FR,10,5,8197709,1.0,5570000,1.0,warning,0.75,Warning-grade concentration review: this is analytically important but not a mathematical failure.,Covered demand is highly concentrated in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|BE,scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,BE,4,25,9331812,0.33747,2250000,0.380068,pass,0.75,No country concentration warning under the current public-proxy threshold.,Covered demand is not dominant in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|DE,scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,DE,5,37,10122760,0.366073,2820000,0.476351,pass,0.75,No country concentration warning under the current public-proxy threshold.,Covered demand is not dominant in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc|FR,scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,FR,1,5,8197709,0.296457,850000,0.143581,pass,0.75,No country concentration warning under the current public-proxy threshold.,Covered demand is not dominant in this country under the current public-proxy solution.,"Country diagnostic for portfolio-balance review only; not a fairness, demand, or rollout recommendation.",tile_smoke_optimization_country_diagnostics_not_investment_grade
