scenario_method_id,scenario_id,method_id,objective_type,solver_status,selected_candidate_count,objective_covered_demand_weight,coverage_floor_demand_weight,covered_zone_count,total_candidate_cost,budget,k,candidate_pool_count,improvement_vs_baseline_demand_weight,improvement_vs_baseline_pct,cost_saving_vs_baseline,cost_saving_vs_baseline_pct,solver_note,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,benchmark_baseline_score,benchmark_feasible,10,12549288.0,0.0,8,5530000.0,10000000.0,10,1973,0.0,0.0,0.0,0.0,Baseline benchmark selects highest baseline-score candidates within k and budget.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,maximize_unique_covered_demand,optimal_shortlist,1,12549288.0,0.0,8,550000.0,10000000.0,10,18,0.0,0.0,4980000.0,0.900542,Exact maximal coverage search over a baseline shortlist used as a transparent audit benchmark.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,maximize_unique_covered_demand,optimal_milp,10,41225528.0,0.0,120,5900000.0,10000000.0,10,1973,28676240.0,2.285089,-370000.0,-0.066908,MILP maximal coverage model solved with PuLP/CBC over the current smoke candidate set.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,minimize_cost_at_coverage_floor,optimal_min_cost,1,12549288.0,11294359.2,8,550000.0,10000000.0,10,1973,0.0,0.0,4980000.0,0.900542,PuLP/CBC min-cost coverage model; floor is 90% of baseline top-k covered demand.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,benchmark_baseline_score,benchmark_feasible,10,8197709.0,0.0,5,5570000.0,10000000.0,10,1973,0.0,0.0,0.0,0.0,Baseline benchmark selects highest baseline-score candidates within k and budget.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-base|method:mclp-shortlist-exact,scenario:radius-base,method:mclp-shortlist-exact,maximize_unique_covered_demand,optimal_shortlist,1,8197709.0,0.0,5,550000.0,10000000.0,10,18,0.0,0.0,5020000.0,0.901257,Exact maximal coverage search over a baseline shortlist used as a transparent audit benchmark.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,maximize_unique_covered_demand,optimal_milp,10,27652281.0,0.0,67,5920000.0,10000000.0,10,1973,19454572.0,2.373172,-350000.0,-0.062837,MILP maximal coverage model solved with PuLP/CBC over the current smoke candidate set.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-base|method:min-cost-coverage-pulp,scenario:radius-base,method:min-cost-coverage-pulp,minimize_cost_at_coverage_floor,optimal_min_cost,1,8197709.0,7377938.1,5,550000.0,10000000.0,10,1973,0.0,0.0,5020000.0,0.901257,PuLP/CBC min-cost coverage model; floor is 90% of baseline top-k covered demand.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,benchmark_baseline_score,benchmark_feasible,10,6900499.0,0.0,4,5540000.0,10000000.0,10,1973,0.0,0.0,0.0,0.0,Baseline benchmark selects highest baseline-score candidates within k and budget.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-conservative|method:mclp-shortlist-exact,scenario:radius-conservative,method:mclp-shortlist-exact,maximize_unique_covered_demand,optimal_shortlist,1,6900499.0,0.0,4,550000.0,10000000.0,10,18,0.0,0.0,4990000.0,0.900722,Exact maximal coverage search over a baseline shortlist used as a transparent audit benchmark.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,maximize_unique_covered_demand,optimal_milp,10,18287940.0,0.0,26,5680000.0,10000000.0,10,1973,11387441.0,1.650234,-140000.0,-0.025271,MILP maximal coverage model solved with PuLP/CBC over the current smoke candidate set.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
scenario:radius-conservative|method:min-cost-coverage-pulp,scenario:radius-conservative,method:min-cost-coverage-pulp,minimize_cost_at_coverage_floor,optimal_min_cost,1,6900499.0,6210449.1,4,550000.0,10000000.0,10,1973,0.0,0.0,4990000.0,0.900722,PuLP/CBC min-cost coverage model; floor is 90% of baseline top-k covered demand.,Optimization checkpoint for diligence prioritization only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_not_investment_grade
