scenario_method_id,scenario_id,method_id,selection_rank,candidate_site_id,country_code,nuts_id,site_type,baseline_rank_within_scenario,baseline_score,c_j,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,FR,FR101,fuel,1,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,2,candidate:osm:node:471629646,FR,FR101,fuel,2,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,3,candidate:osm:node:648114671,FR,FR101,fuel,3,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,4,candidate:osm:node:667281517,FR,FR101,fuel,4,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,5,candidate:osm:node:837837342,FR,FR101,fuel,5,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,6,candidate:osm:node:25214653,FR,FR101,fuel,6,0.744658,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,7,candidate:osm:node:309654919,FR,FR101,fuel,7,0.744658,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,8,candidate:osm:node:320203219,FR,FR101,fuel,8,0.744658,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,9,candidate:osm:node:625171506,FR,FR101,fuel,9,0.744658,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,10,candidate:osm:node:255003455,FR,FR101,fuel,10,0.719658,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
