sensitivity_run_id,scenario_id,weight_set_id,weight_set_name,method_id,solver_status,shortlist_size,candidate_pool_count,selected_candidate_count,objective_covered_demand_weight,base_weight_set_objective,objective_delta_vs_base_weight_set,objective_delta_vs_base_weight_set_pct,overlap_with_base_solution_count,overlap_with_base_solution_pct,covered_zone_count,total_candidate_cost,budget,k,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|weights:base|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-aggressive,weights:base,Base balanced,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,5,21668420.0,21668420.0,0.0,0.0,5,1.0,32,2770000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-aggressive|weights:competition-aware|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-aggressive,weights:competition-aware,Competition aware,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,5,21668420.0,21668420.0,0.0,0.0,4,0.8,32,2760000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-aggressive|weights:coverage-led|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-aggressive,weights:coverage-led,Coverage led,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,5,21824331.0,21668420.0,155911.0,0.007195,1,0.2,33,2810000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-aggressive|weights:data-quality-guardrail|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-aggressive,weights:data-quality-guardrail,Data quality guardrail,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,7,27128056.0,21668420.0,5459636.0,0.251963,1,0.2,54,3850000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-aggressive|weights:risk-aware|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-aggressive,weights:risk-aware,Risk aware,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,5,21668420.0,21668420.0,0.0,0.0,4,0.8,32,2760000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-base|weights:base|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-base,weights:base,Base balanced,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,7,20594710.0,20594710.0,0.0,0.0,7,1.0,36,3870000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-base|weights:competition-aware|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-base,weights:competition-aware,Competition aware,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,6,20154014.0,20594710.0,-440696.0,-0.021399,5,0.714286,35,3330000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-base|weights:coverage-led|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-base,weights:coverage-led,Coverage led,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,6,18237080.0,20594710.0,-2357630.0,-0.114477,5,0.714286,30,3350000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-base|weights:data-quality-guardrail|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-base,weights:data-quality-guardrail,Data quality guardrail,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,10,21783506.0,20594710.0,1188796.0,0.057723,3,0.428571,42,5560000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
scenario:radius-base|weights:risk-aware|method:mclp-weighted-shortlist-pulp-cbc,scenario:radius-base,weights:risk-aware,Risk aware,method:mclp-weighted-shortlist-pulp-cbc,optimal_milp,80,80,6,20154014.0,20594710.0,-440696.0,-0.021399,5,0.714286,35,3330000.0,10000000.0,10,Optimization sensitivity over weight-set shortlists for diligence prioritization only.,tile_smoke_optimization_sensitivity_not_investment_grade
