zone_trace_id,scenario_method_id,scenario_id,method_id,selection_rank,candidate_site_id,demand_zone_id,zone_coverage_rank,coverage_radius_km,distance_km,zone_demand_weight,zone_demand_share_of_candidate,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR101,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR101,1,50,6.017,2065560,0.164596,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR106,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR106,2,50,9.552,1731789,0.137999,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR105,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR105,3,50,12.163,1668275,0.132938,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR103,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR103,4,50,40.996,1504565,0.119892,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR102,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR102,5,50,47.153,1490900,0.118804,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR107,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR107,6,50,7.085,1434875,0.114339,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR104,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR104,7,50,34.792,1356114,0.108063,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:25213823|dz:nuts2024:FR108,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,1,candidate:osm:node:25213823,dz:nuts2024:FR108,8,50,35.313,1297210,0.103369,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:471629646|dz:nuts2024:FR101,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,2,candidate:osm:node:471629646,dz:nuts2024:FR101,1,50,4.804,2065560,0.164596,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
scenario:radius-aggressive|method:baseline-topk|candidate:osm:node:471629646|dz:nuts2024:FR106,scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,2,candidate:osm:node:471629646,dz:nuts2024:FR106,2,50,5.572,1731789,0.137999,Selected-site zone trace for audit and portfolio explanation only; not investment advice or a site feasibility claim.,tile_smoke_optimization_zone_trace_not_investment_grade
