weight_set_id,weight_set_name,scenario_id,candidate_site_id,country_code,nuts_id,site_type,coverage_radius_km,coverage_weight,data_quality_weight,risk_weight,competition_weight,weighted_score,rank_within_weight_set_scenario,base_rank_within_scenario,rank_delta_vs_base,stable_top10_flag,top_rank_band,allowed_use_note,proxy_assumption_label,candidate_short_id
weights:base,Base balanced,scenario:radius-base,candidate:osm:node:5316731719,DE,DE125,fuel,30,0.55,0.2,0.15,0.1,0.301561,723,723,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731719
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:node:5316731719,DE,DE125,fuel,30,0.7,0.1,0.1,0.1,0.27835,481,723,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731719
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:node:5316731719,DE,DE125,fuel,30,0.45,0.15,0.3,0.1,0.340368,653,723,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731719
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:node:5316731719,DE,DE125,fuel,30,0.45,0.15,0.15,0.25,0.340368,653,723,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731719
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:node:5316731719,DE,DE125,fuel,30,0.45,0.35,0.1,0.1,0.300368,1365,723,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731719
weights:base,Base balanced,scenario:radius-base,candidate:osm:node:5316731720,DE,DE125,fuel,30,0.55,0.2,0.15,0.1,0.301561,724,724,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731720
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:node:5316731720,DE,DE125,fuel,30,0.7,0.1,0.1,0.1,0.27835,482,724,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731720
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:node:5316731720,DE,DE125,fuel,30,0.45,0.15,0.3,0.1,0.340368,654,724,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731720
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:node:5316731720,DE,DE125,fuel,30,0.45,0.15,0.15,0.25,0.340368,654,724,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731720
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:node:5316731720,DE,DE125,fuel,30,0.45,0.35,0.1,0.1,0.300368,1366,724,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316731720
weights:base,Base balanced,scenario:radius-base,candidate:osm:node:5316732021,DE,DE125,fuel,30,0.55,0.2,0.15,0.1,0.301561,725,725,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732021
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:node:5316732021,DE,DE125,fuel,30,0.7,0.1,0.1,0.1,0.27835,483,725,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732021
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:node:5316732021,DE,DE125,fuel,30,0.45,0.15,0.3,0.1,0.340368,655,725,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732021
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:node:5316732021,DE,DE125,fuel,30,0.45,0.15,0.15,0.25,0.340368,655,725,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732021
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:node:5316732021,DE,DE125,fuel,30,0.45,0.35,0.1,0.1,0.300368,1367,725,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732021
weights:base,Base balanced,scenario:radius-base,candidate:osm:node:5316732022,DE,DE125,fuel,30,0.55,0.2,0.15,0.1,0.301561,726,726,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732022
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:node:5316732022,DE,DE125,fuel,30,0.7,0.1,0.1,0.1,0.27835,484,726,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732022
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:node:5316732022,DE,DE125,fuel,30,0.45,0.15,0.3,0.1,0.340368,656,726,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732022
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:node:5316732022,DE,DE125,fuel,30,0.45,0.15,0.15,0.25,0.340368,656,726,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732022
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:node:5316732022,DE,DE125,fuel,30,0.45,0.35,0.1,0.1,0.300368,1368,726,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732022
weights:base,Base balanced,scenario:radius-base,candidate:osm:node:5316732023,DE,DE125,fuel,30,0.55,0.2,0.15,0.1,0.301561,727,727,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732023
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:node:5316732023,DE,DE125,fuel,30,0.7,0.1,0.1,0.1,0.27835,485,727,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732023
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:node:5316732023,DE,DE125,fuel,30,0.45,0.15,0.3,0.1,0.340368,657,727,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732023
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:node:5316732023,DE,DE125,fuel,30,0.45,0.15,0.15,0.25,0.340368,657,727,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732023
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:node:5316732023,DE,DE125,fuel,30,0.45,0.35,0.1,0.1,0.300368,1369,727,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732023
weights:base,Base balanced,scenario:radius-base,candidate:osm:node:5316732025,DE,DE125,fuel,30,0.55,0.2,0.15,0.1,0.301561,729,729,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732025
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:node:5316732025,DE,DE125,fuel,30,0.7,0.1,0.1,0.1,0.27835,487,729,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732025
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:node:5316732025,DE,DE125,fuel,30,0.45,0.15,0.3,0.1,0.340368,659,729,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732025
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:node:5316732025,DE,DE125,fuel,30,0.45,0.15,0.15,0.25,0.340368,659,729,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732025
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:node:5316732025,DE,DE125,fuel,30,0.45,0.35,0.1,0.1,0.300368,1371,729,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732025
weights:base,Base balanced,scenario:radius-base,candidate:osm:node:5316732026,DE,DE125,fuel,30,0.55,0.2,0.15,0.1,0.301561,730,730,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732026
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:node:5316732026,DE,DE125,fuel,30,0.7,0.1,0.1,0.1,0.27835,488,730,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732026
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:node:5316732026,DE,DE125,fuel,30,0.45,0.15,0.3,0.1,0.340368,660,730,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732026
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:node:5316732026,DE,DE125,fuel,30,0.45,0.15,0.15,0.25,0.340368,660,730,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732026
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:node:5316732026,DE,DE125,fuel,30,0.45,0.35,0.1,0.1,0.300368,1372,730,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,node:5316732026
weights:base,Base balanced,scenario:radius-base,candidate:osm:way:161640937,DE,DE128,services,30,0.55,0.2,0.15,0.1,0.301561,731,731,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:161640937
