rank_within_scenario,candidate_site_id,candidate_short_id,country_code,nuts_id,site_type,baseline_score,coverage_component,data_quality_component,risk_component,competition_component,covered_zone_count,covered_demand_weight,avg_distance_covered_km,action_bucket
1,candidate:osm:node:25214653,node:25214653,FR,FR101,fuel,0.81,1.0,0.675,0.5,0.5,5,8197709.0,12.327,Priority diligence shortlist
2,candidate:osm:node:309654919,node:309654919,FR,FR101,fuel,0.81,1.0,0.675,0.5,0.5,5,8197709.0,12.511,Priority diligence shortlist
3,candidate:osm:node:320203219,node:320203219,FR,FR101,fuel,0.81,1.0,0.675,0.5,0.5,5,8197709.0,12.855,Priority diligence shortlist
4,candidate:osm:node:255003455,node:255003455,FR,FR101,fuel,0.785,1.0,0.55,0.5,0.5,5,8197709.0,13.155,Priority diligence shortlist
5,candidate:osm:node:259284911,node:259284911,FR,FR101,fuel,0.785,1.0,0.55,0.5,0.5,5,8197709.0,12.958,Priority diligence shortlist
6,candidate:osm:node:262276013,node:262276013,FR,FR101,fuel,0.785,1.0,0.55,0.5,0.5,5,8197709.0,12.109,Priority diligence shortlist
7,candidate:osm:node:267652178,node:267652178,FR,FR101,fuel,0.785,1.0,0.55,0.5,0.5,5,8197709.0,12.639,Priority diligence shortlist
8,candidate:osm:node:307372951,node:307372951,FR,FR101,fuel,0.785,1.0,0.55,0.5,0.5,5,8197709.0,11.752,Priority diligence shortlist
9,candidate:osm:node:315123765,node:315123765,FR,FR101,fuel,0.785,1.0,0.55,0.5,0.5,5,8197709.0,12.922,Priority diligence shortlist
10,candidate:osm:node:652862411,node:652862411,FR,FR101,fuel,0.785,1.0,0.55,0.5,0.5,5,8197709.0,13.088,Priority diligence shortlist
11,candidate:osm:node:298915407,node:298915407,FR,FR101,fuel,0.735,1.0,0.3,0.5,0.5,5,8197709.0,12.138,Secondary diligence shortlist
12,candidate:osm:node:423836418,node:423836418,FR,FR101,fuel,0.735,1.0,0.3,0.5,0.5,5,8197709.0,12.727,Secondary diligence shortlist
13,candidate:osm:way:901643395,way:901643395,FR,FR101,services,0.735,1.0,0.3,0.5,0.5,5,8197709.0,12.858,Secondary diligence shortlist
14,candidate:osm:node:25213823,node:25213823,FR,FR101,fuel,0.722968,0.841759,0.675,0.5,0.5,4,6900499.0,8.704,Secondary diligence shortlist
15,candidate:osm:node:471629646,node:471629646,FR,FR101,fuel,0.722968,0.841759,0.675,0.5,0.5,4,6900499.0,8.321,Secondary diligence shortlist
16,candidate:osm:node:625171506,node:625171506,FR,FR101,fuel,0.722968,0.841759,0.675,0.5,0.5,4,6900499.0,8.012,Secondary diligence shortlist
17,candidate:osm:node:648114671,node:648114671,FR,FR101,fuel,0.722968,0.841759,0.675,0.5,0.5,4,6900499.0,8.373,Secondary diligence shortlist
18,candidate:osm:node:605504117,node:605504117,FR,FR101,fuel,0.697968,0.841759,0.55,0.5,0.5,4,6900499.0,9.372,Secondary diligence shortlist
19,candidate:osm:node:66492656,node:66492656,FR,FR101,fuel,0.697968,0.841759,0.55,0.5,0.5,4,6900499.0,8.507,Secondary diligence shortlist
20,candidate:osm:node:667281517,node:667281517,FR,FR101,fuel,0.697968,0.841759,0.55,0.5,0.5,4,6900499.0,8.381,Secondary diligence shortlist
21,candidate:osm:node:837837342,node:837837342,FR,FR101,fuel,0.697968,0.841759,0.55,0.5,0.5,4,6900499.0,8.334,Secondary diligence shortlist
22,candidate:osm:node:1605830779,node:1605830779,BE,BE236,fuel,0.520773,0.474132,0.675,0.5,0.5,6,3886796.0,21.489,Secondary diligence shortlist
23,candidate:osm:node:1605835808,node:1605835808,BE,BE236,fuel,0.495773,0.474132,0.55,0.5,0.5,6,3886796.0,21.472,Secondary diligence shortlist
24,candidate:osm:node:218795236,node:218795236,BE,BE212,fuel,0.495773,0.474132,0.55,0.5,0.5,6,3886796.0,22.36,Secondary diligence shortlist
25,candidate:osm:node:249420183,node:249420183,BE,BE212,fuel,0.495773,0.474132,0.55,0.5,0.5,6,3886796.0,22.637,Secondary diligence shortlist
26,candidate:osm:node:30524543,node:30524543,BE,BE212,fuel,0.495773,0.474132,0.55,0.5,0.5,6,3886796.0,22.605,Secondary diligence shortlist
27,candidate:osm:node:302017504,node:302017504,BE,BE32C,fuel,0.484544,0.453717,0.55,0.5,0.5,9,3719438.0,24.837,Secondary diligence shortlist
28,candidate:osm:node:270357986,node:270357986,BE,BE100,fuel,0.478481,0.397237,0.675,0.5,0.5,5,3256436.0,18.863,Secondary diligence shortlist
29,candidate:osm:node:315522174,node:315522174,BE,BE100,fuel,0.478481,0.397237,0.675,0.5,0.5,5,3256436.0,18.788,Secondary diligence shortlist
30,candidate:osm:node:89229494,node:89229494,BE,BE241,fuel,0.478481,0.397237,0.675,0.5,0.5,5,3256436.0,19.415,Secondary diligence shortlist
31,candidate:osm:node:245860850,node:245860850,BE,BE241,fuel,0.474451,0.48082,0.425,0.5,0.5,5,3941619.0,22.01,Secondary diligence shortlist
32,candidate:osm:node:247083227,node:247083227,BE,BE241,fuel,0.474451,0.48082,0.425,0.5,0.5,5,3941619.0,22.02,Secondary diligence shortlist
33,candidate:osm:node:252796029,node:252796029,BE,BE241,fuel,0.474451,0.48082,0.425,0.5,0.5,5,3941619.0,21.902,Secondary diligence shortlist
34,candidate:osm:node:218795230,node:218795230,BE,BE212,fuel,0.470773,0.474132,0.425,0.5,0.5,6,3886796.0,22.51,Secondary diligence shortlist
35,candidate:osm:node:218823336,node:218823336,BE,BE241,fuel,0.470773,0.474132,0.425,0.5,0.5,6,3886796.0,22.409,Secondary diligence shortlist
36,candidate:osm:node:3011892998,node:3011892998,BE,BE236,fuel,0.470773,0.474132,0.425,0.5,0.5,6,3886796.0,21.577,Secondary diligence shortlist
37,candidate:osm:node:2460624575,node:2460624575,BE,BE232,fuel,0.467514,0.377298,0.675,0.5,0.5,6,3092982.0,20.523,Secondary diligence shortlist
38,candidate:osm:node:1819122735,node:1819122735,BE,BE32C,fuel,0.464893,0.372533,0.675,0.5,0.5,7,3053915.0,23.606,Secondary diligence shortlist
39,candidate:osm:node:99475956,node:99475956,BE,BE212,fuel,0.454179,0.398507,0.55,0.5,0.5,4,3266847.0,21.374,Secondary diligence shortlist
40,candidate:osm:node:144923040,node:144923040,BE,BE241,fuel,0.453481,0.397237,0.55,0.5,0.5,5,3256436.0,19.282,Secondary diligence shortlist
